priority,address,entity_type,confidence,borrowed_m,protocols,assets,governance,reasons
6,0x5de64f9503064344db3202d95ceb73c420dccd57,likely_sophisticated,45,100.1,aave|compound,USDC|GHO|DAI|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: DAI, GHO, USDC, USDT | Borrows GHO (Aave-native stablecoin) | Whale: $132M borrowed"
6,0xab92fca834aac2afe16cf6a2fc60cc7a864a77a5,likely_sophisticated,45,100.0,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC, USDT | Whale: $126M borrowed"
6,0x058bbff7be9d3cb50cdb9e6f6929f023f2763b98,likely_sophisticated,45,99.8,aave|spark,USDC|USDe|GHO|wstETH|USDtb|DAI|EURC|USDS,,"Uses 2 protocols: aave, spark | Borrows 10 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $152M borrowed"
6,0x68e7e72938db36a5cbbca7b52c71dbbaadfb8264,likely_sophisticated,45,99.7,aave|aave_horizon,USDC|USDe|GHO|RLUSD|USDT,,"Uses 2 protocols: aave, aave_horizon | Borrows 5 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $113M borrowed"
6,0x79d93cbf3583e62dd3edbddd1ee1121f8b07af81,likely_sophisticated,45,93.3,aave|compound,USDC|WETH|TUSD|SNX|KNC|DAI|BUSD|WBTC,,"Uses 2 protocols: aave, compound | Borrows 10 different assets | Whale: $108M borrowed"
6,0x10098de28ba6928186954fcc18ad919040600af3,likely_sophisticated,45,92.0,aave|spark,USDC|WBTC|WETH|USDT,,"Uses 2 protocols: aave, spark | High leverage: 0.9x (borrowed/net) | Whale: $169M borrowed | Uses Spark (MakerDAO ecosystem)"
6,0x236f233dbf78341d25fb0f1bd14cb2ba4b8a777c,likely_sophisticated,45,88.2,aave|spark,USDC|WETH|TUSD|DAI|WBTC|USDT,,"Uses 2 protocols: aave, spark | Borrows 6 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x790c9422839fd93a3a4e31e531f96cc87f397c00,likely_sophisticated,45,87.5,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC, USDT | Whale: $117M borrowed"
6,0x702a39a9d7d84c6b269efaa024dff4037499bba9,likely_sophisticated,45,81.9,aave|compound,USDC|WETH|DAI|WBTC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows 5 different assets | Whale: $136M borrowed"
6,0x9fb1750da6266a05601855bb62767ebc742707b1,likely_sophisticated,45,80.5,aave|compound,USDC|WETH|USDe|DAI|USDT,,"Uses 2 protocols: aave, compound | Borrows 5 different assets"
6,0x72a916702bd97923e55d78ea5a3f413dec7f7f85,likely_sophisticated,45,77.5,aave|compound,USDC|WETH|DAI|WBTC|ENJ|renFIL|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows 7 different assets | Whale: $135M borrowed"
6,0xa489e9daf10ced86811d59e4d00ce1b0dec95f5e,likely_sophisticated,45,76.1,aave|compound,USDC|WETH|DAI|USDT,,"Uses 2 protocols: aave, compound | Whale: $116M borrowed"
6,0xf276d10b388e00b8a04b1362f66c6e2aad8a1960,likely_sophisticated,45,75.5,aave|compound,USDC|wstETH|WETH|USDe,,"Uses 2 protocols: aave, compound"
6,0xc79b6416bd17446f930d32a7b78cf60d35a12be7,likely_sophisticated,45,74.5,aave|compound,USDC|WBTC|USDS|USDT,,"Uses 2 protocols: aave, compound | Whale: $108M borrowed"
6,0x940df59ba33f3387deff3c2400fecf1286fcce4c,likely_sophisticated,45,72.5,aave|spark,USDC|WETH|DAI|USDT,,"Uses 2 protocols: aave, spark | Whale: $102M borrowed | Uses Spark (MakerDAO ecosystem)"
6,0x64471d103a7f77262529383d53bdd28b260b1ae8,likely_sophisticated,45,72.1,aave|aave_horizon,USDC|RLUSD|USDT,,"Uses 2 protocols: aave, aave_horizon | High leverage: 1.5x (borrowed/net) | Whale: $122M borrowed"
6,0xeadc152ac1014ace57c6b353f89adf5faffe9d55,likely_sophisticated,45,71.0,aave|compound,USDC,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC"
6,0x459b6dd8eafa6ada530380b9bb0c56b2ea34ec9f,likely_sophisticated,45,70.3,aave|aave_lido,wstETH|WETH,,"Uses 2 protocols: aave, aave_lido | High leverage: 0.9x (borrowed/net) | Borrows only volatile: WETH, wstETH | Whale: $122M borrowed"
6,0x7fd18d518f70df5f1691591ab34ecbeff4ea8084,likely_sophisticated,45,69.9,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC, USDT"
6,0x75c0c0591cdf9af7cb826a65ac213cff31916668,likely_sophisticated,45,69.7,aave|compound,USDC|WETH|BAT|DAI|LINK|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows 6 different assets | Whale: $126M borrowed"
6,0x26ad4f84cd20102c4a7fb9d14bd2661a0d66f96d,likely_sophisticated,45,68.2,compound|spark,WETH,,"Uses 2 protocols: compound, spark | Borrows only volatile: WETH | Uses Spark (MakerDAO ecosystem)"
6,0xb5c98c0d2861d39c538aff4e87cee946ffa1adf4,likely_sophisticated,45,66.2,aave|spark,USDe|DAI|USDT,,"Uses 2 protocols: aave, spark | Borrows only stablecoins: DAI, USDT, USDe | Uses Spark (MakerDAO ecosystem)"
6,0x86aee25955af3e6f750bbc921b7f258b462c9cf3,likely_sophisticated,45,66.2,aave|spark,USDC|wstETH|SNX|DAI|rETH|USDT,,"Uses 2 protocols: aave, spark | Borrows 6 different assets | Uses Spark (MakerDAO ecosystem)"
6,0xe2bb94210b41ce4c01b9b97f3ac62e728e472f9c,likely_sophisticated,45,65.7,aave|compound,USDC|WETH|xSUSHI|TUSD|CRV|SNX|MKR|DAI,,"Uses 2 protocols: aave, compound | Borrows 13 different assets"
6,0xa8c18057c5aaaaff6000d28a057a6994b2e09bfb,likely_sophisticated,45,65.7,aave|aave_lido,USDC|USDe|USDS|USDT,,"Uses 2 protocols: aave, aave_lido | Borrows only stablecoins: USDC, USDS, USDT, USDe"
6,0xfb94d3404c1d3d9d6f08f79e58041d5ea95accfa,likely_sophisticated,45,64.7,aave|spark,USDC|WETH|USDS|DAI|USDT,,"Uses 2 protocols: aave, spark | Borrows 5 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x2bd7d71390ed6946159b1cb49bc270cbe3ef1a53,likely_sophisticated,45,63.5,aave|compound,USDC|DAI,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: DAI, USDC"
6,0x42ad05d4f56456230c023cd023ddbc9935903ab4,likely_sophisticated,45,63.1,aave|compound,USDC|USDT|GUSD,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Whale: $109M borrowed"
6,0x1dff1e9968222aa6c66bf402bac2c3fe5ed13f76,likely_sophisticated,45,58.5,aave|spark,USDC|PYUSD|USDe|USDT,,"Uses 2 protocols: aave, spark | Borrows only stablecoins: PYUSD, USDC, USDT, USDe | Uses Spark (MakerDAO ecosystem)"
6,0xc441b9a1ca36b774898f3d7c76792dc468a404ce,likely_sophisticated,45,57.1,aave|compound,USDC|WETH,,"Uses 2 protocols: aave, compound"
6,0x78bc49be7bae5e0eec08780c86f0e8278b8b035b,likely_sophisticated,45,57.0,aave|compound,USDC|WETH|BAT|DAI|WBTC|LINK|USDT,,"Uses 2 protocols: aave, compound | Borrows 7 different assets"
6,0xc77c6375e9fd581701425a6fb70bf371fb1cba28,likely_sophisticated,45,56.0,aave|spark,USDC|WETH|GHO|USDS|DAI|USDT,,"Uses 2 protocols: aave, spark | Borrows 6 different assets | Borrows GHO (Aave-native stablecoin) | Uses Spark (MakerDAO ecosystem)"
6,0x1cac5f5733eaa98b64500eeb79891e5cb2cd46a1,likely_sophisticated,45,55.2,aave|spark,wstETH|cbBTC|USDT,,"Uses 2 protocols: aave, spark | Uses Spark (MakerDAO ecosystem)"
6,0xc35bc7e918bb4c0159296d9749dc59de605b4b93,likely_sophisticated,45,54.3,aave|spark,wstETH|WETH,,"Uses 2 protocols: aave, spark | Borrows only volatile: WETH, wstETH | Uses Spark (MakerDAO ecosystem)"
6,0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78,likely_sophisticated,45,53.0,aave|spark,USDC|WETH|GHO|wstETH|PYUSD|DAI|USDS|WBTC,,"Uses 2 protocols: aave, spark | High leverage: 1.0x (borrowed/net) | Borrows 9 different assets | Borrows GHO (Aave-native stablecoin)"
6,0x06b50641cc4c6e3a08903052ec86d4d770f60c36,likely_sophisticated,45,51.6,aave|spark,USDC|WETH|USDe|PYUSD|wstETH|DAI|USDS|WBTC,,"Uses 2 protocols: aave, spark | Borrows 10 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x057518153ed7f25dd237a0d0052ae8cc5c428ee3,likely_sophisticated,45,50.6,aave|compound,USDC|WETH|TUSD|DAI|sUSD|LINK|USDT,,"Uses 2 protocols: aave, compound | Borrows 7 different assets"
6,0xc3f89f829ca23e85c59e9ec44a0c79e483d58be2,likely_sophisticated,45,49.6,aave|spark,weETH|DAI|USDT,,"Uses 2 protocols: aave, spark | Uses Spark (MakerDAO ecosystem)"
6,0x16674814ea6a7aac3decb877ea8fd01deb5c333d,likely_sophisticated,45,49.0,aave|spark,USDC|DAI|USDT,,"Uses 2 protocols: aave, spark | Borrows only stablecoins: DAI, USDC, USDT | Uses Spark (MakerDAO ecosystem)"
6,0x485c07c5516315881c732c90122ba4de3f356180,likely_sophisticated,45,48.4,aave|spark,USDC|USDe|tBTC|PYUSD|DAI|USDtb|EURC|USDS,,"Uses 2 protocols: aave, spark | High leverage: 0.9x (borrowed/net) | Borrows 11 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x06c05fbac28826fa24b5fe806f239277d8b5a9fd,likely_sophisticated,45,48.0,aave|spark,WETH|wstETH|USDS|WBTC|cbBTC,,"Uses 2 protocols: aave, spark | Borrows 5 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x77e19de48f43af1d150aaef2de7e7ab8f3e55360,likely_sophisticated,45,47.2,aave|spark,USDC|USDe|PYUSD|wstETH|USDS|DAI|RLUSD|USDT,,"Uses 2 protocols: aave, spark | Borrows 8 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b,likely_sophisticated,45,47.2,aave|compound,USDC|WETH|USDS|WBTC|cbBTC|crvUSD|USDT,,"Uses 2 protocols: aave, compound | Borrows 7 different assets"
6,0x4aa29d0aec8c80cad432cc2e272ab2351b72b745,likely_sophisticated,45,45.4,aave|aave_lido,USDC|wstETH|USDT,,"Uses 2 protocols: aave, aave_lido | High leverage: 0.9x (borrowed/net)"
6,0x051d091b254ecdbbb4eb8e6311b7939829380b27,likely_sophisticated,45,45.1,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC, USDT"
6,0x9ac60bd825eb8fd0240e4daf2646c1050830013e,likely_sophisticated,45,44.5,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC, USDT"
6,0xc03d7825d2b3ec9d73d581802ab49301c4ebb4d5,likely_sophisticated,45,43.6,aave|compound,USDC|WETH|USDe|wstETH|rETH|USDT,,"Uses 2 protocols: aave, compound | Borrows 6 different assets"
6,0xb8270b5ba91cb365d51855a968a9a8f829a0e855,likely_sophisticated,45,41.3,aave|compound,ETHx|USDC|LUSD|WETH|UNI|GHO|osETH|LDO,,"Uses 2 protocols: aave, compound | Borrows 13 different assets | Borrows GHO (Aave-native stablecoin)"
6,0x30480168582c2bf43eaf97bfce186e8d25866e96,likely_sophisticated,45,41.3,aave|spark,USDC|WETH|wstETH|cbBTC|USDT,,"Uses 2 protocols: aave, spark | Borrows 5 different assets | Uses Spark (MakerDAO ecosystem)"
6,0x721096bcd32a2a653efa5633b9fa1e07359d9746,likely_sophisticated,45,41.0,aave|compound,USDC|TUSD|MANA|DAI|rETH|WBTC|YFI|sUSD,,"Uses 2 protocols: aave, compound | Borrows 10 different assets"
6,0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,likely_sophisticated,45,37.3,aave|compound,USDC|ZRX|WETH|BAT|DAI|WBTC|YFI|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows 8 different assets"
6,0x6f652411609aca8370faf57b98b5b3a7c171723d,likely_sophisticated,45,36.5,aave|compound,USDC|DAI|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: DAI, USDC, USDT"
6,0x907856bd487c405e48f96f45b451a7b6ddf801e3,likely_sophisticated,45,34.4,aave|spark,USDC|WETH|cbBTC|USDT,,"Uses 2 protocols: aave, spark | High leverage: 0.9x (borrowed/net) | Uses Spark (MakerDAO ecosystem)"
6,0x3f3429d28438cc14133966820b8a9ea61cf1d4f0,likely_sophisticated,45,33.2,aave|compound,USDC|CRV|WETH|USDT,,"Uses 2 protocols: aave, compound"
6,0xdc72bd8115311209270c453d52a031773372c52f,likely_sophisticated,45,32.4,aave|compound,USDC|DAI|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: DAI, USDC, USDT"
7,0x3ba21b6477f48273f41d241aa3722ffb9e07e247,governance_participant,55,330.8,compound,USDC|BAT,"2 votes in curve.eth, lido-snapshot.eth","Whale: $331M borrowed | Votes in: curve.eth, lido-snapshot.eth"
7,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3,governance_participant,55,254.9,aave,USDC|WETH|USDe|GHO|USDS|DAI|USDT,1 votes in cow.eth,Borrows 7 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $255M borrowed | Votes in: cow.eth
7,0xd12e276f76a55af8558e149b5efeb6aa3a64ee84,governance_participant,55,135.6,aave,USDC|USDT,1 votes in ens.eth,"Borrows only stablecoins: USDC, USDT | Whale: $136M borrowed | Votes in: ens.eth"
7,0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,governance_participant,55,119.2,aave,USDC|WETH|TUSD|MKR|DAI|WBTC|RAI|sUSD,"6 votes in gearbox.eth, lido-snapshot.eth","Borrows 9 different assets | Whale: $119M borrowed | Votes in: gearbox.eth, lido-snapshot.eth"
7,0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,governance_participant,55,109.5,aave,USDC|WBTC|USDS|USDT,4 votes in morpho.eth,Whale: $110M borrowed | Votes in: morpho.eth
7,0xd856007b58a97d2f96b558a49cd3e7d3b1e96c0e,governance_participant,55,93.4,compound,USDC|BAT|WETH,9 votes in balancer.eth,Votes in: balancer.eth
7,0xa4fc81a7ab93360543eb1e814d0127f466012ced,governance_participant,55,80.7,aave,LINK|YFI,1 votes in gearbox.eth,"Borrows only volatile: LINK, YFI | Votes in: gearbox.eth"
8,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,mega_whale_unknown,40,1086.9,aave,WBTC|WETH|USDT,,Mega whale: $1087M borrowed
